time_s,lat,lon,heading_deg,gps_speed_mps,turn_rate_dps,fix_quality,num_sats,hdop,throttle_ppm,steering_ppm,ch3_ppm,ch4_ppm,ch5_ppm,ch6_ppm,ch7_ppm,ch8_ppm,mode
1.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
1.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
